NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
2474,6378,6385,6770,6576,7136,0.001152446,0.001463809,0.001977355,0.001378892,0.012527295,BE,2,2,2,2,2,0,0,0,0,0
2439,6291,6688,6662,6785,7104,0.00073831,0.002731747,0.001743232,0.001681706,0.011919606,AR,2,2,2,2,2,0,0,0,0,0
2423,6379,6420,6813,6457,6590,0.003938893,0.004050372,0.003889348,0.003914121,0.031952931,HK,2,2,2,2,2,0,0,0,0,0
2399,6246,6280,6635,6465,6978,0.005141785,0.006401168,0.007001668,0.005112594,0.035479566,ZA,2,2,2,2,2,0,0,0,0,0
2063,5179,5764,5742,5553,5808,0.000703201,0.000819593,0.001008729,0.000412221,0.009330747,TR,2,2,2,2,2,0,0,0,0,0
1996,5472,5557,5913,5524,5513,0.002285714,0.002330827,0.003759398,0.001829574,0.01354386,PK,2,2,2,2,2,0,0,0,0,0
1950,5110,5198,5234,5261,5596,0.006341714,0.009055926,0.007634684,0.006413545,0.054073884,PT,2,2,2,2,2,0,0,0,0,0
1931,4967,5342,5262,5233,5539,0.000813472,0.00042487,0.001502591,0.000813472,0.010284974,GR,2,2,2,2,2,0,0,0,0,0
1843,4721,4627,4995,4978,5370,0.002508143,0.004495114,0.002057546,0.004109663,0.031574376,CH,2,2,2,2,2,0,0,0,0,0
1722,4603,4683,4913,4712,4877,0.000493899,0.002289367,0.001423591,0.001307379,0.015072632,AE,2,2,2,2,2,0,0,0,0,0
1718,4309,4349,4616,4616,4939,0.002906232,0.005171811,0.005532906,0.004414677,0.035981363,AT,2,2,2,2,2,0,0,0,0,0
1715,4473,4661,4721,4787,4926,0.000705951,0.001686114,0.001312719,0.000472579,0.008424737,CL,2,2,2,2,2,0,0,0,0,0
1643,4244,4302,4502,4388,4725,0.003404385,0.00408039,0.002533496,0.003958587,0.027466504,HR,2,2,2,2,2,0,0,0,0,0
1471,3846,4009,4112,3972,4083,0.001965986,0.000244898,0.00114966,0.000333333,0.005721088,VN,2,2,2,2,2,0,0,0,0,0
1431,3629,3777,3923,3859,4139,0.000566434,0.003083916,0.001181818,0.000111888,0.010097902,RS,2,2,2,2,2,0,0,0,0,0
1417,3642,3644,3870,3771,3943,0.00105226,0.000564972,0.002973164,0.002090395,0.014187853,JP,2,2,2,2,2,0,0,0,0,0
1366,3606,3550,3819,3714,3791,0.001970696,0.003553114,0.002380952,0.002703297,0.014571429,TH,2,2,2,2,2,0,0,0,0,0
1363,3469,3605,3687,3652,3890,0.000359765,7.34E-06,0.000264317,0.000359765,0.008487518,CZ,2,2,2,2,2,0,0,0,0,0
1304,3389,3640,3637,3602,3740,0.000621642,0.002217959,0.001105142,0.000928626,0.008871834,PE,2,2,2,2,2,0,0,0,0,0
1169,2982,3087,3132,3129,3377,0.002328767,0.003818493,0.001712329,0.006515411,0.031943493,HU,2,2,2,2,2,0,0,0,0,0
1156,2944,3008,3179,3054,3273,0,0,0,0,0,KR,2,2,2,2,2,0,0,0,0,0
1076,2650,2730,2902,2881,3130,0.000595349,0.00335814,0.001125581,0.000455814,0.008939535,IL,2,2,2,2,2,0,0,0,0,0
993,2590,2619,2739,2691,2856,0,0,0,0,0,BG,2,2,2,2,2,0,0,0,0,0
930,2421,2560,2561,2595,2745,0,0,0,0,0,VE,2,2,2,2,2,0,0,0,0,0
904,2417,2336,2486,2480,2622,0.000398671,0.002491694,0.000276855,0.001871539,0.014352159,KE,2,2,2,2,2,0,0,0,0,0
886,2316,2436,2464,2464,2540,0,0,0,0,0,EC,2,2,2,2,2,0,0,0,0,0
836,2125,2138,2356,2191,2276,0,0,0,0,0,CN,2,2,2,2,2,0,0,0,0,0
825,2115,2203,2249,2183,2327,0.000776699,0.001468447,0.00059466,0.002378641,0.013216019,LT,2,2,2,2,2,0,0,0,0,0
765,2015,2105,2136,2038,2156,0.002945026,0.002565445,0.002212042,0.000641361,0.009541885,SA,2,2,2,2,2,0,0,0,0,0
751,1960,1920,2032,2013,2113,0.001613333,0.00048,0.001613333,0.002253333,0.02028,EE,2,2,2,2,2,0,0,0,0,0
700,1761,1837,1885,1923,2005,0,0,0,0,0,SK,2,2,2,2,2,0,0,0,0,0
684,1797,1802,1904,1831,1888,0,0,0,0,0,TW,2,2,2,2,2,0,0,0,0,0
683,1808,1879,1936,1819,1908,0,0,0,0,0,EG,2,2,2,2,2,0,0,0,0,0
653,1695,1713,1761,1725,1887,0.001533742,0,0.004432515,0.000981595,0.013803681,SI,2,2,2,2,2,0,0,0,0,0
631,1693,1621,1772,1705,1840,0.000253968,0.000777778,0.001920635,0.001015873,0.016253968,NG,2,2,2,2,2,0,0,0,0,0
572,1471,1547,1578,1560,1644,0.002119089,0.003940455,0.001418564,0.002521891,0.025288967,UA,2,2,2,2,2,0,0,0,0,0
489,1267,1300,1368,1364,1422,0,0,0,0,0,CR,2,2,2,2,2,0,0,0,0,0
431,1126,1129,1199,1188,1227,0.009511628,0.023023256,0.017697674,0.011302326,0.079093023,PR,2,2,2,2,2,0,0,0,0,0
420,1101,1112,1147,1136,1182,0.003436754,0.000596659,0.004033413,0.001933174,0.030930788,LV,2,2,2,2,2,0,0,0,0,0
408,1043,1085,1122,1107,1173,0.001990172,0.000884521,0.004152334,0.003538084,0.022113022,BA,2,2,2,2,2,0,0,0,0,0
408,1086,1099,1148,1097,1171,0,0,0,0,0,LB,2,2,2,2,2,0,0,0,0,0
385,1018,987,1053,1044,1112,0.001276042,0.003151042,0.002109375,0.003151042,0.025026042,IS,2,2,2,2,2,0,0,0,0,0
380,1013,1045,1094,1022,1071,0.002638522,0.012770449,0.004459103,0.003192612,0.02701847,LK,2,2,2,2,2,0,0,0,0,0
354,900,992,989,920,1013,0,0,0,0,0,MA,2,2,2,2,2,0,0,0,0,0
326,861,877,914,868,931,0,0,0,0,0,TT,2,2,2,2,2,0,0,0,0,0
323,811,868,911,854,915,0,0,0,0,0,IR,2,2,2,2,2,0,0,0,0,0
320,845,823,894,825,924,0.00200627,0.004514107,0.008025078,0.004514107,0.036238245,JM,2,2,2,2,2,0,0,0,0,0
314,839,861,883,887,914,0,0,0,0,0,GT,2,2,2,2,2,0,0,0,0,0
291,754,782,801,811,837,0,0,0,0,0,AL,2,2,2,2,2,0,0,0,0,0
291,763,796,820,766,771,0,0,0,0,0,NP,2,2,2,2,2,0,0,0,0,0
289,752,791,809,765,819,0,0,0,0,0,KW,2,2,2,2,2,0,0,0,0,0
288,743,783,791,782,826,0,0,0,0,0,MT,2,2,2,2,2,0,0,0,0,0
281,732,790,789,778,818,0,0,0,0,0,BO,2,2,2,2,2,0,0,0,0,0
274,719,752,777,749,781,0,0,0,0,0,KZ,2,2,2,2,2,0,0,0,0,0
272,706,731,767,735,793,0,0,0,0,0,MK,2,2,2,2,2,0,0,0,0,0
267,681,720,737,725,771,0,0,0,0,0,JO,2,2,2,2,2,0,0,0,0,0
265,680,713,718,742,771,0,0,0,0,0,UY,2,2,2,2,2,0,0,0,0,0
250,660,671,692,700,737,0,0,0,0,0,DO,2,2,2,2,2,0,0,0,0,0
236,636,638,660,643,677,0.002723404,0.028765957,0.008340426,0.00612766,0.05212766,QA,2,2,2,2,2,0,0,0,0,0
229,569,625,614,606,635,0,0,0,0,0,GE,2,2,2,2,2,0,0,0,0,0
208,541,557,572,568,604,0.005845411,0.008164251,0.003091787,0.003913043,0.062608696,CY,2,2,2,2,2,0,0,0,0,0
201,525,553,565,541,547,0.0122,0.0795,0.0421,0.0127,0.15845,BD,2,2,2,2,2,0,0,0,0,0
192,498,558,542,505,557,0,0,0,0,0,DZ,2,2,2,2,2,0,0,0,0,0
189,495,534,517,534,533,0,0,0,0,0,PY,2,2,2,2,2,0,0,0,0,0
187,511,535,541,516,505,0,0,0,0,0,KH,2,2,2,2,2,0,0,0,0,0
167,438,429,463,455,479,0,0,0,0,0,GH,2,2,2,2,2,0,0,0,0,0
166,437,467,484,449,452,0.003878788,0.000242424,0.000545455,0.011878788,0.062060606,BN,2,2,2,2,2,0,0,0,0,0
164,418,404,435,443,475,0.01607362,0.01601227,0.025582822,0.026625767,0.218220859,LU,2,2,2,2,2,0,0,0,0,0
160,417,441,454,443,449,0,0,0,0,0,BH,2,2,2,2,2,0,0,0,0,0
159,417,432,439,440,462,0,0,0,0,0,PA,2,2,2,2,2,0,0,0,0,0
156,409,423,436,441,456,0,0,0,0,0,HN,2,2,2,2,2,0,0,0,0,0
150,391,407,429,390,408,0,0,0,0,0,MO,2,2,2,2,2,0,0,0,0,0
144,398,341,408,391,416,0.011818182,0.02020979,0.011818182,0.017902098,0.080839161,ET,2,2,2,2,2,0,0,0,0,0
144,369,399,389,391,412,0.017482517,0.018251748,0.027972028,0.015454545,0.152867133,TN,2,2,2,2,2,0,0,0,0,0
142,382,392,399,398,414,0,0,0,0,0,SV,2,2,2,2,2,0,0,0,0,0
136,362,344,385,377,385,0.018518519,0.031407407,0.03037037,0.021925926,0.151851851,OM,2,2,2,2,2,0,0,0,0,0
132,350,352,378,363,396,0.012366412,0.013587786,0.02259542,0.003053435,0.18480916,MU,2,2,2,2,3,0,0,0,0,0
123,316,318,340,325,351,0,0,0,0,0,BY,2,2,2,2,2,0,0,0,0,0
120,317,322,337,333,346,0,0,0,0,0,NI,2,2,2,2,2,0,0,0,0,0
100,251,272,273,268,283,0,0,0,0,0,MD,2,2,2,2,2,0,0,0,0,0
99,263,256,275,254,279,0,0,0,0,0,BB,2,2,2,2,2,0,0,0,0,0
99,245,265,272,268,287,0,0,0,0,0,ME,2,2,2,2,2,0,0,0,0,0
94,250,244,265,253,265,0,0,0,0,0,GU,2,2,2,2,2,0,0,0,0,0
89,229,254,245,240,254,0,0,0,0,0,BZ,2,2,2,2,2,0,0,0,0,0
85,220,214,245,222,245,0,0,0,0,0,BS,2,2,2,2,2,0,0,0,0,0
82,210,235,228,224,235,0,0,0,0,0,AM,2,2,2,2,2,0,0,0,0,0
74,193,205,209,199,217,0,0,0,0,0,IQ,2,2,2,2,2,0,0,0,0,0
73,199,190,199,198,209,0,0,0,0,0,ZM,2,2,2,2,2,0,0,0,0,0
71,185,178,195,194,198,0,0,0,0,0,UG,2,2,2,2,2,0,0,0,0,0
69,174,173,194,194,208,0,0,0,0,0,ZW,2,2,2,2,3,0,0,0,0,0
69,176,191,194,181,197,0,0,0,0,0,SD,2,2,2,2,2,0,0,0,0,0
65,173,179,186,172,185,0,0,0,0,0,MM,2,2,2,2,2,0,0,0,0,0
64,168,159,181,179,184,0.035714286,0.005714286,0.022857143,0.003968254,0.205714273,TZ,2,2,2,2,2,0,0,0,0,0
63,161,166,175,172,181,0,0,0,0,0,AZ,2,2,2,2,2,0,0,0,0,0
60,151,169,170,160,174,0,0,0,0,0,SY,2,2,2,2,2,0,0,0,0,0
59,156,165,167,154,170,0,0,0,0,0,MV,2,2,2,2,2,0,0,0,0,0
55,143,147,155,144,153,0,0,0,0,0,MN,2,2,2,2,2,0,0,0,0,0
55,142,148,157,148,164,0,0,0,0,0,PS,2,2,2,2,2,0,0,0,0,0
52,132,131,143,135,151,0,0,0,0,0,BW,2,2,2,2,2,0,0,0,0,0
